Time (s), Cell Name, Value
45.5673046875, C000, 8.658247
45.6672275390625, C000, 5.952485
45.767151611328124, C000, 6.447713
127.1046787109375, C000, 7.462351
127.2046015625, C000, 6.893688
129.003220703125, C000, 4.0791
145.3906337890625, C000, 9.557528
145.89024951171876, C000, 4.295158
145.9901735839844, C000, 8.97234
146.0900966796875, C000, 5.765917
170.0716765136719, C000, 4.120809
170.1716005859375, C000, 7.008953
192.75425561523437, C000, 6.926744
192.8541787109375, C000, 5.387501
192.9541015625, C000, 4.184922
263.6997646484375, C000, 8.336056
263.7996877441406, C000, 7.301675
263.8996105957031, C000, 5.686779
263.99953369140627, C000, 4.021473
266.99723168945314, C000, 5.027427
267.09715478515625, C000, 5.783179
279.28779150390625, C000, 5.969513
281.08641064453127, C000, 4.25958
343.73828979492185, C000, 3.976373
362.62378369140623, C000, 3.669538
362.7237075195313, C000, 6.611832
362.8236306152344, C000, 7.007732
362.9235534667969, C000, 4.892862
404.09193359375, C000, 3.67575
404.1918566894531, C000, 7.793563
404.2917795410156, C000, 7.174602
404.39170361328127, C000, 3.692417
443.96131176757814, C000, 5.049808
444.06123461914063, C000, 6.21329
444.16115771484374, C000, 5.310964
549.3803425292969, C000, 4.444517
549.480265625, C000, 6.535161
549.5801887207032, C000, 6.136154
563.0698276367187, C000, 4.761542
589.2497197265625, C000, 7.213086
589.3496435546875, C000, 4.848045
589.4495666503906, C000, 7.129271
596.84388671875, C000, 4.012441
604.8377475585937, C000, 5.155698
604.9376706542969, C000, 4.828762
664.8916215820312, C000, 9.149424
664.9915446777344, C000, 13.17617
665.09146875, C000, 7.223307
665.1913916015625, C000, 5.390852
668.8885515136719, C000, 6.180248
668.988474609375, C000, 8.640538
670.9869406738281, C000, 3.692049
697.4666018066406, C000, 3.772981
729.042349609375, C000, 7.072103
738.8348286132813, C000, 5.365733
790.994765625, C000, 3.772735
869.6343657226563, C000, 4.501712
869.7342885742188, C000, 6.612579
869.8342116699218, C000, 5.6788
869.9341354980469, C000, 4.043661
879.9264606933593, C000, 4.167154
918.3969125976563, C000, 7.955614
918.4968354492188, C000, 4.694549
918.5967587890625, C000, 7.3823
931.986474609375, C000, 3.927466
932.0863977050781, C000, 7.646873
932.1863215332031, C000, 8.479383
932.2862446289063, C000, 3.657688
934.3846325683594, C000, 3.727781
934.6844025878906, C000, 4.089149
1029.0119526367187, C000, 4.699594
1084.0696645507812, C000, 5.873384
1084.1695876464844, C000, 5.211397
1092.063524658203, C000, 7.597325
1092.1634477539062, C000, 7.083813
1092.2633715820311, C000, 4.401231
1172.20197265625, C000, 5.034365
1172.3018967285157, C000, 7.524888
1172.4018195800782, C000, 5.62049
1185.5916887207031, C000, 7.253379
1185.6916115722656, C000, 5.719393
1246.1451796875, C000, 6.564728
1246.245102783203, C000, 7.182894
1246.3450266113282, C000, 5.490767
1250.3419567871094, C000, 4.384545
1292.7094155273437, C000, 8.249704
1299.9038896484376, C000, 3.964356
1308.79705859375, C000, 4.989197
1308.8969814453126, C000, 3.802213
1335.4765666503906, C000, 6.813212
1335.5764907226562, C000, 5.010532
1336.1760295410156, C000, 4.00737
1445.0923747558593, C000, 3.861937
1445.1922976074218, C000, 9.068521
1445.2922216796876, C000, 6.208414
1467.375259765625, C000, 5.193768
1467.47518359375, C000, 8.047415
1482.663517578125, C000, 5.114263
1482.7634406738282, C000, 7.612405
1576.991067626953, C000, 5.063512
1577.0909907226562, C000, 6.860377
1577.1909135742187, C000, 5.973758
1582.1870766601562, C000, 3.62116
1603.7704995117188, C000, 7.533647
1603.870422607422, C000, 5.662049
1670.2194614257812, C000, 6.359579
1670.319384765625, C000, 5.523148
