Time (s), Cell Name,Value
6.96391943359375, C000,5.825695
12.15991943359375, C000,5.421176
23.351305419921875, C000,5.629288
23.551151611328127, C000,13.38389
23.651074462890627, C000,5.126575
23.750997314453127, C000,5.580902
28.547305419921877, C000,6.147602
28.7471513671875, C000,14.96707
28.847074462890625, C000,5.809044
28.946997314453125, C000,5.285778
33.043844482421875, C000,5.492086
38.53961352539063, C000,21.9179
41.93699829101563, C000,5.917751
49.93084545898437, C000,30.15757
50.33053735351562, C000,6.59462
83.00538623046874, C000,5.030297
92.09838745117187, C000,29.71229
92.19831030273437, C000,5.606705
110.9838505859375, C000,29.39763
117.27900439453126, C000,7.511337
117.6786962890625, C000,8.7185
150.653314453125, C000,5.998578
154.6502373046875, C000,13.81776
155.2497763671875, C000,10.07922
236.2873984375, C000,6.355148
237.18670532226562, C000,6.932803
340.707021484375, C000,7.145016
340.90686743164065, C000,8.500257
341.00679028320315, C000,5.64967
341.10671362304686, C000,6.404535
341.20663647460935, C000,5.090267
341.30655932617185, C000,5.241772
445.72618334960936, C000,7.432753
445.82610620117185, C000,5.584497
445.9260295410156, C000,6.222443
446.0259523925781, C000,6.214924
450.2227214355469, C000,5.238667
456.1181843261719, C000,5.62018
456.3180302734375, C000,8.916029
456.4179533691406, C000,5.856304
456.51787646484377, C000,7.84557
468.00903149414063, C000,6.760962
468.1089543457031, C000,7.789413
468.2088771972656, C000,6.845703
468.3088005371094, C000,6.58569
468.508646484375, C000,5.926357
468.70849243164065, C000,6.978218
482.0981865234375, C000,5.351422
484.0966474609375, C000,5.821439
484.1965703125, C000,7.59775
484.2964934082031, C000,6.600302
484.39641650390627, C000,6.059561
542.9513444824219, C000,25.66155
669.05427734375, C000,6.098861
669.1542001953125, C000,6.269487
669.2541235351563, C000,9.078245
725.2110505371094, C000,5.070215
742.2978984375, C000,5.393862
742.3978215332031, C000,7.888376
742.4977443847656, C000,5.485313
742.5976674804688, C000,7.31691
749.5922834472656, C000,7.708843
833.3278283691407, C000,5.543864
833.4277514648437, C000,7.168154
833.5276743164062, C000,6.075314
833.6275974121094, C000,5.235701
833.827443359375, C000,5.121435
143.25900659179686, C001,8.926698
143.3589294433594, C001,14.79143
143.4588525390625, C001,5.52552
148.35508349609376, C001,5.928725
195.61870239257811, C001,10.73337
195.7186252441406, C001,16.42211
195.81854833984374, C001,5.591591
207.109857421875, C001,5.223138
224.69632055664061, C001,7.5058
239.1851672363281, C001,12.72571
248.97762939453125, C001,26.39288
252.27509130859374, C001,5.177799
257.97070751953123, C001,8.567785
260.1690153808594, C001,6.653512
260.8684763183594, C001,5.402744
268.96224633789063, C001,5.25151
314.8269423828125, C001,9.072025
314.926865234375, C001,11.96802
334.2120205078125, C001,6.499172
334.31194458007815, C001,8.634523
334.41186743164064, C001,8.099548
350.29963720703125, C001,5.156122
362.49025341796874, C001,5.650322
364.8884074707031, C001,12.58141
364.98833129882814, C001,13.74609
383.4741013183594, C001,10.76469
383.5740244140625, C001,5.169485
383.673947265625, C001,5.753881
399.9614104003906, C001,5.680441
425.04210546875, C001,8.767414
428.93910546875, C001,5.587626
432.2365673828125, C001,6.308864
435.53402856445314, C001,11.35378
435.63395141601563, C001,12.56142
441.3295673828125, C001,5.805169
441.429490234375, C001,10.70074
441.5294135742187, C001,11.00168
441.9291064453125, C001,6.435596
443.328029296875, C001,5.766262
444.82687548828125, C001,10.06985
444.92679833984374, C001,5.195768
450.5224914550781, C001,5.338421
451.8214914550781, C001,11.79545
452.12126049804687, C001,5.871132
477.0021083984375, C001,8.868923
478.70080126953127, C001,9.3533
478.800724609375, C001,11.63281
478.9006474609375, C001,5.940641
482.7976474609375, C001,9.09002
482.8975703125, C001,13.46453
482.9974934082031, C001,5.517723
484.59626342773436, C001,8.880468
484.6961865234375, C001,6.503637
493.3894943847656, C001,5.82349
493.4894172363281, C001,12.70286
493.58934033203127, C001,7.796083
496.0874172363281, C001,5.440119
553.4432685546875, C001,5.073895
554.4424995117188, C001,5.270962
557.3402683105469, C001,8.424074
568.0320393066406, C001,7.55628
568.1319614257812, C001,6.231491
570.9298083496094, C001,11.67434
571.0297314453124, C001,10.10758
571.129654296875, C001,11.17431
597.609271484375, C001,10.68038
597.7091943359375, C001,11.33465
597.8091184082032, C001,6.465029
597.9090415039062, C001,6.500862
598.0089645996094, C001,6.437038
621.3909663085938, C001,10.90154
622.6899663085937, C001,12.1124
624.3886584472656, C001,9.228733
627.2864284667969, C001,5.976425
657.6630454101562, C001,11.11571
657.7629685058594, C001,12.4184
690.33789453125, C001,9.309843
697.032740234375, C001,5.346174
722.3132814941406, C001,8.959188
725.1111274414062, C001,5.050636
751.1910524902344, C001,5.227792
776.4715932617188, C001,5.767151
776.5715166015625, C001,11.33261
780.3685935058594, C001,6.644266
780.4685163574219, C001,6.451065
787.0634404296875, C001,5.037649
794.25790234375, C001,11.54032
794.3578254394531, C001,6.337732
817.0403654785156, C001,12.76388
817.1402883300781, C001,10.85477
818.2394423828125, C001,7.218058
824.4346733398437, C001,5.681414
824.5345964355469, C001,10.01016
824.6345192871094, C001,9.387154
842.1210593261719, C001,5.885481
849.1156755371094, C001,5.571003
851.6137524414063, C001,5.458348
856.5099836425782, C001,16.1557
856.6099064941407, C001,20.82743
856.7098293457032, C001,9.464123
865.4031384277343, C001,11.93881
865.5030615234375, C001,10.17386
865.602984375, C001,8.649729
867.8012924804688, C001,6.141157
894.180986328125, C001,14.51978
894.2809094238281, C001,11.25216
916.1640654296875, C001,7.174718
43.33592236328125, C002,31.39061
54.62723046875, C002,17.57056
126.27208129882813, C002,8.423554
